Start date;Start time;End date;End time;Duration
28/01/2023;23:50:00;29/01/2023;10:00:00;10:10:00
30/01/2023;02:30:00;30/01/2023;08:00:00;05:30:00
31/01/2023;01:27:08;31/01/2023;06:58:08;05:31:00
01/02/2023;01:05:00;01/02/2023;07:19:00;06:14:00
02/02/2023;01:53:00;02/02/2023;07:48:00;05:55:00
04/02/2023;00:50:18;04/02/2023;08:50:18;08:00:00
04/02/2023;22:30:21;05/02/2023;07:00:53;08:30:32
07/02/2023;00:02:26;07/02/2023;06:00:36;05:58:10
08/02/2023;03:00:04;08/02/2023;08:03:45;05:03:41
09/02/2023;00:49:31;09/02/2023;08:00:59;07:11:28
10/02/2023;04:30:42;10/02/2023;10:20:45;05:50:03
11/02/2023;01:18:07;11/02/2023;09:32:07;08:14:00
11/02/2023;23:33:42;12/02/2023;09:52:00;10:18:18
12/02/2023;23:59:10;13/02/2023;09:00:30;09:01:20
14/02/2023;01:21:18;14/02/2023;08:14:33;06:53:15
15/02/2023;01:09:12;15/02/2023;09:24:32;08:15:20
15/02/2023;23:35:39;16/02/2023;06:13:12;06:37:33
17/02/2023;01:23:01;17/02/2023;08:11:24;06:48:23
18/02/2023;01:36:12;18/02/2023;09:25:17;07:49:05
19/02/2023;03:58:19;19/02/2023;10:39:45;06:41:26
20/02/2023;01:43:40;20/02/2023;09:45:49;08:02:09
21/02/2023;05:12:00;21/02/2023;10:53:00;05:41:00
21/02/2023;18:40:53;21/02/2023;19:55:24;01:14:31
22/02/2023;04:44:42;22/02/2023;08:11:43;03:27:01
22/02/2023;08:15:00;22/02/2023;13:02:00;04:47:00
22/02/2023;23:40:00;23/02/2023;09:02:00;09:22:00
24/02/2023;01:58:13;24/02/2023;01:58:15;00:00:02
24/02/2023;01:58:17;24/02/2023;10:00:01;08:01:44
25/02/2023;05:09:37;25/02/2023;08:52:48;03:43:11
26/02/2023;02:00:37;26/02/2023;10:46:39;08:46:02
27/02/2023;01:33:48;27/02/2023;08:38:45;07:04:57
28/02/2023;01:49:59;28/02/2023;08:48:25;06:58:26
01/03/2023;01:02:41;01/03/2023;09:14:39;08:11:58
02/03/2023;02:13:31;02/03/2023;09:49:45;07:36:14
03/03/2023;01:18:45;03/03/2023;07:46:08;06:27:23
04/03/2023;05:16:01;04/03/2023;08:30:34;03:14:33
05/03/2023;01:54:43;05/03/2023;08:33:02;06:38:19
06/03/2023;02:54:58;06/03/2023;09:58:00;07:03:02
06/03/2023;23:45:28;07/03/2023;07:53:58;08:08:30
08/03/2023;00:14:42;08/03/2023;07:42:27;07:27:45
08/03/2023;23:32:57;09/03/2023;08:43:50;09:10:53
09/03/2023;23:41:11;10/03/2023;08:11:29;08:30:18
10/03/2023;22:53:10;11/03/2023;08:59:00;10:05:50
12/03/2023;02:30:10;12/03/2023;09:41:00;07:10:50
13/03/2023;00:59:11;13/03/2023;08:46:10;07:46:59
14/03/2023;00:40:53;14/03/2023;09:00:27;08:19:34
14/03/2023;22:12:09;15/03/2023;08:19:30;10:07:21
16/03/2023;00:19:19;16/03/2023;08:18:39;07:59:20
17/03/2023;00:23:10;17/03/2023;09:06:45;08:43:35
18/03/2023;00:26:53;18/03/2023;06:28:53;06:02:00
19/03/2023;01:54:01;19/03/2023;10:06:10;08:12:09
20/03/2023;03:13:10;20/03/2023;08:44:49;05:31:39
20/03/2023;21:31:31;21/03/2023;04:55:00;07:23:29
21/03/2023;05:23:05;21/03/2023;08:25:29;03:02:24
22/03/2023;00:52:05;22/03/2023;07:17:13;06:25:08
23/03/2023;01:12:15;23/03/2023;08:02:16;06:50:01
23/03/2023;14:58:13;23/03/2023;15:27:19;00:29:06
24/03/2023;02:04:17;24/03/2023;07:42:00;05:37:43
25/03/2023;04:16:42;25/03/2023;09:40:16;05:23:34
26/03/2023;04:02:12;26/03/2023;10:40:00;06:37:48
27/03/2023;02:08:14;27/03/2023;09:29:03;07:20:49
28/03/2023;00:05:52;28/03/2023;08:04:17;07:58:25
29/03/2023;01:11:43;29/03/2023;07:42:51;06:31:08
30/03/2023;00:08:55;30/03/2023;08:30:05;08:21:10
31/03/2023;03:12:14;31/03/2023;07:35:34;04:23:20
31/03/2023;22:09:01;31/03/2023;22:09:16;00:00:15
31/03/2023;22:14:38;01/04/2023;09:14:38;11:00:00
02/04/2023;02:28:52;02/04/2023;09:59:33;07:30:41
03/04/2023;01:47:40;03/04/2023;08:02:19;06:14:39
03/04/2023;14:38:54;03/04/2023;17:33:28;02:54:34
04/04/2023;04:22:44;04/04/2023;08:13:30;03:50:46
04/04/2023;23:42:06;05/04/2023;09:14:43;09:32:37
05/04/2023;23:40:16;06/04/2023;07:15:06;07:34:50
07/04/2023;04:26:03;07/04/2023;10:02:14;05:36:11
08/04/2023;02:20:00;08/04/2023;10:10:00;07:50:00
09/04/2023;03:26:58;09/04/2023;09:44:54;06:17:56
10/04/2023;02:32:55;10/04/2023;10:00:14;07:27:19
11/04/2023;02:48:09;11/04/2023;09:33:00;06:44:51
12/04/2023;02:57:13;12/04/2023;09:04:20;06:07:07
12/04/2023;15:50:43;12/04/2023;16:44:12;00:53:29
13/04/2023;00:08:12;13/04/2023;08:38:37;08:30:25
14/04/2023;02:30:44;14/04/2023;07:31:58;05:01:14
14/04/2023;23:28:02;15/04/2023;08:49:23;09:21:21
15/04/2023;15:34:55;15/04/2023;17:19:14;01:44:19
16/04/2023;01:38:31;16/04/2023;09:22:45;07:44:14
16/04/2023;23:40:51;17/04/2023;05:12:03;05:31:12
18/04/2023;00:43:43;18/04/2023;08:16:17;07:32:34
19/04/2023;00:56:47;19/04/2023;07:11:40;06:14:53
20/04/2023;00:57:35;20/04/2023;07:00:55;06:03:20
21/04/2023;03:05:07;21/04/2023;10:26:11;07:21:04
22/04/2023;01:48:23;22/04/2023;08:40:23;06:52:00
23/04/2023;00:39:09;23/04/2023;11:26:13;10:47:04
23/04/2023;16:24:21;23/04/2023;16:42:36;00:18:15
24/04/2023;00:45:27;24/04/2023;06:56:18;06:10:51
25/04/2023;03:40:38;25/04/2023;09:00:48;05:20:10
26/04/2023;00:44:55;26/04/2023;10:06:04;09:21:09
27/04/2023;02:22:18;27/04/2023;08:15:33;05:53:15
28/04/2023;03:10:00;28/04/2023;07:19:18;04:09:18
29/04/2023;03:01:24;29/04/2023;08:04:20;05:02:56
30/04/2023;01:33:43;30/04/2023;10:09:03;08:35:20
01/05/2023;01:40:02;01/05/2023;10:48:13;09:08:11
02/05/2023;02:30:51;02/05/2023;08:28:03;05:57:12
03/05/2023;03:37:16;03/05/2023;09:20:06;05:42:50
03/05/2023;17:26:23;03/05/2023;17:55:38;00:29:15
03/05/2023;23:50:34;04/05/2023;08:49:23;08:58:49
04/05/2023;17:57:30;04/05/2023;18:31:38;00:34:08
05/05/2023;01:09:57;05/05/2023;07:24:30;06:14:33
05/05/2023;20:22:39;05/05/2023;20:50:33;00:27:54
06/05/2023;03:15:55;06/05/2023;11:12:55;07:57:00
07/05/2023;02:22:14;07/05/2023;09:02:44;06:40:30
07/05/2023;09:10:46;07/05/2023;11:00:00;01:49:14
08/05/2023;03:13:21;08/05/2023;07:20:03;04:06:42
08/05/2023;07:25:45;08/05/2023;08:55:39;01:29:54
09/05/2023;01:32:06;09/05/2023;06:33:17;05:01:11
09/05/2023;06:46:31;09/05/2023;08:00:49;01:14:18
09/05/2023;08:05:45;09/05/2023;09:01:53;00:56:08
10/05/2023;00:04:08;10/05/2023;05:53:30;05:49:22
10/05/2023;06:07:14;10/05/2023;06:58:55;00:51:41
10/05/2023;07:04:14;10/05/2023;09:01:37;01:57:23
11/05/2023;00:12:35;11/05/2023;03:07:33;02:54:58
11/05/2023;03:53:14;11/05/2023;11:04:10;07:10:56
11/05/2023;23:38:07;12/05/2023;07:04:11;07:26:04
13/05/2023;03:45:21;13/05/2023;10:51:51;07:06:30
14/05/2023;02:22:47;14/05/2023;11:05:59;08:43:12
15/05/2023;00:24:41;15/05/2023;08:58:00;08:33:19
15/05/2023;14:48:38;15/05/2023;14:59:59;00:11:21
15/05/2023;15:00:00;15/05/2023;15:06:28;00:06:28
16/05/2023;01:48:56;16/05/2023;07:20:00;05:31:04
17/05/2023;03:00:48;17/05/2023;12:28:03;09:27:15
18/05/2023;02:02:34;18/05/2023;09:45:57;07:43:23
19/05/2023;02:20:09;19/05/2023;07:40:38;05:20:29
19/05/2023;07:40:40;19/05/2023;08:59:55;01:19:15
20/05/2023;01:48:20;20/05/2023;11:02:01;09:13:41
21/05/2023;02:02:39;21/05/2023;10:01:09;07:58:30
22/05/2023;01:47:29;22/05/2023;07:51:55;06:04:26
23/05/2023;00:24:40;23/05/2023;07:00:22;06:35:42
24/05/2023;01:42:11;24/05/2023;07:43:01;06:00:50
24/05/2023;23:51:10;25/05/2023;08:56:02;09:04:52
26/05/2023;01:41:13;26/05/2023;07:55:29;06:14:16
26/05/2023;17:44:35;26/05/2023;20:05:02;02:20:27
27/05/2023;05:16:59;27/05/2023;09:21:31;04:04:32
28/05/2023;01:57:26;28/05/2023;07:00:39;05:03:13
29/05/2023;00:35:08;29/05/2023;09:31:25;08:56:17
30/05/2023;01:17:16;30/05/2023;08:39:00;07:21:44
31/05/2023;00:47:35;31/05/2023;08:30:46;07:43:11
01/06/2023;03:02:46;01/06/2023;09:16:38;06:13:52
02/06/2023;04:21:00;02/06/2023;08:17:00;03:56:00
03/06/2023;05:13:25;03/06/2023;11:24:49;06:11:24
04/06/2023;02:22:56;04/06/2023;10:42:11;08:19:15
04/06/2023;23:57:46;05/06/2023;07:06:13;07:08:27
06/06/2023;02:12:54;06/06/2023;08:20:24;06:07:30
07/06/2023;00:23:23;07/06/2023;09:03:49;08:40:26
08/06/2023;04:44:27;08/06/2023;11:01:17;06:16:50
09/06/2023;02:20:00;09/06/2023;09:57:57;07:37:57
09/06/2023;16:47:53;09/06/2023;17:00:19;00:12:26
10/06/2023;02:32:38;10/06/2023;12:40:32;10:07:54
10/06/2023;16:49:15;10/06/2023;18:40:18;01:51:03
11/06/2023;01:18:46;11/06/2023;10:35:59;09:17:13
12/06/2023;00:13:11;12/06/2023;00:39:12;00:26:01
12/06/2023;00:39:14;12/06/2023;07:25:50;06:46:36
13/06/2023;02:17:17;13/06/2023;07:55:59;05:38:42
14/06/2023;02:00:47;14/06/2023;11:37:30;09:36:43
15/06/2023;02:46:15;15/06/2023;09:56:45;07:10:30
16/06/2023;01:36:46;16/06/2023;06:32:36;04:55:50
17/06/2023;06:04:11;17/06/2023;07:59:59;01:55:48
18/06/2023;02:05:23;18/06/2023;09:34:43;07:29:20
19/06/2023;02:46:47;19/06/2023;10:01:51;07:15:04
20/06/2023;00:16:02;20/06/2023;07:05:28;06:49:26
20/06/2023;23:25:21;21/06/2023;06:47:21;07:22:00
21/06/2023;16:10:52;21/06/2023;17:58:28;01:47:36
22/06/2023;02:14:10;22/06/2023;07:05:37;04:51:27
22/06/2023;07:05:38;22/06/2023;07:27:19;00:21:41
23/06/2023;01:52:51;23/06/2023;07:32:08;05:39:17
23/06/2023;12:31:15;23/06/2023;13:36:00;01:04:45
23/06/2023;23:01:17;24/06/2023;10:10:45;11:09:28
25/06/2023;05:29:50;25/06/2023;10:12:43;04:42:53
26/06/2023;05:23:47;26/06/2023;08:04:41;02:40:54
26/06/2023;22:59:13;27/06/2023;09:36:04;10:36:51
28/06/2023;00:21:29;28/06/2023;08:46:08;08:24:39
28/06/2023;19:56:15;28/06/2023;20:30:29;00:34:14
29/06/2023;01:52:21;29/06/2023;08:08:17;06:15:56
29/06/2023;14:30:00;29/06/2023;14:53:27;00:23:27
30/06/2023;02:22:39;30/06/2023;09:56:00;07:33:21
01/07/2023;01:46:24;01/07/2023;07:42:20;05:55:56
03/07/2023;01:01:52;03/07/2023;09:39:39;08:37:47
03/07/2023;09:56:24;03/07/2023;10:55:19;00:58:55
03/07/2023;17:45:48;03/07/2023;19:00:29;01:14:41
03/07/2023;19:00:31;03/07/2023;19:26:32;00:26:01
04/07/2023;00:44:34;04/07/2023;02:34:13;01:49:39
04/07/2023;04:19:52;04/07/2023;08:01:18;03:41:26
05/07/2023;01:55:26;05/07/2023;07:48:43;05:53:17
05/07/2023;14:04:57;05/07/2023;14:57:30;00:52:33
05/07/2023;15:10:48;05/07/2023;15:25:43;00:14:55
05/07/2023;15:25:45;05/07/2023;18:03:10;02:37:25
06/07/2023;05:19:23;06/07/2023;07:30:00;02:10:37
07/07/2023;02:13:29;07/07/2023;08:15:05;06:01:36
07/07/2023;08:15:07;07/07/2023;09:13:09;00:58:02
07/07/2023;22:36:17;08/07/2023;08:34:02;09:57:45
09/07/2023;01:12:35;09/07/2023;08:11:34;06:58:59
10/07/2023;02:37:23;10/07/2023;10:13:10;07:35:47
11/07/2023;01:59:10;11/07/2023;08:03:24;06:04:14
12/07/2023;01:36:50;12/07/2023;10:09:01;08:32:11
13/07/2023;02:36:00;13/07/2023;09:20:38;06:44:38
14/07/2023;03:30:54;14/07/2023;09:02:58;05:32:04
15/07/2023;02:23:57;15/07/2023;11:30:14;09:06:17
16/07/2023;03:07:58;16/07/2023;11:47:00;08:39:02
17/07/2023;02:19:13;17/07/2023;09:06:22;06:47:09
18/07/2023;02:17:46;18/07/2023;09:56:42;07:38:56
19/07/2023;04:57:09;19/07/2023;09:13:57;04:16:48
19/07/2023;15:50:35;19/07/2023;17:51:18;02:00:43
20/07/2023;01:35:57;20/07/2023;07:35:58;06:00:01
20/07/2023;07:52:04;20/07/2023;09:22:40;01:30:36
20/07/2023;09:22:42;20/07/2023;11:07:00;01:44:18
21/07/2023;02:24:58;21/07/2023;09:32:40;07:07:42
22/07/2023;05:12:29;22/07/2023;08:12:55;03:00:26
23/07/2023;03:11:03;23/07/2023;05:26:00;02:14:57
23/07/2023;06:02:57;23/07/2023;07:20:39;01:17:42
23/07/2023;07:39:33;23/07/2023;11:51:56;04:12:23
24/07/2023;03:06:36;24/07/2023;13:31:31;10:24:55
25/07/2023;00:57:52;25/07/2023;09:14:58;08:17:06
26/07/2023;02:19:22;26/07/2023;07:57:24;05:38:02
27/07/2023;06:22:26;27/07/2023;14:51:59;08:29:33
28/07/2023;01:14:19;28/07/2023;08:25:26;07:11:07
29/07/2023;03:25:28;29/07/2023;10:17:38;06:52:10
31/07/2023;01:33:06;31/07/2023;10:52:35;09:19:29
31/07/2023;22:25:37;01/08/2023;08:57:22;10:31:45
02/08/2023;02:41:08;02/08/2023;09:46:56;07:05:48
03/08/2023;05:18:41;03/08/2023;08:34:48;03:16:07
04/08/2023;01:15:17;04/08/2023;08:14:30;06:59:13
05/08/2023;00:32:20;05/08/2023;08:10:34;07:38:14
06/08/2023;02:06:32;06/08/2023;09:10:05;07:03:33
07/08/2023;02:30:28;07/08/2023;10:03:25;07:32:57
08/08/2023;02:17:08;08/08/2023;08:00:06;05:42:58
09/08/2023;00:01:32;09/08/2023;08:40:11;08:38:39
10/08/2023;01:41:29;10/08/2023;08:00:58;06:19:29
10/08/2023;23:40:34;11/08/2023;07:25:49;07:45:15
12/08/2023;02:33:08;12/08/2023;08:14:16;05:41:08
13/08/2023;02:49:45;13/08/2023;02:50:12;00:00:27
13/08/2023;02:50:13;13/08/2023;09:54:33;07:04:20
14/08/2023;01:42:23;14/08/2023;07:02:24;05:20:01
15/08/2023;00:15:00;15/08/2023;09:15:00;09:00:00
16/08/2023;00:29:27;16/08/2023;07:58:38;07:29:11
17/08/2023;01:32:34;17/08/2023;08:05:28;06:32:54
17/08/2023;23:24:51;18/08/2023;08:11:17;08:46:26
19/08/2023;01:37:42;19/08/2023;08:08:58;06:31:16
20/08/2023;03:54:00;20/08/2023;08:33:00;04:39:00
20/08/2023;22:57:58;21/08/2023;07:03:27;08:05:29
21/08/2023;09:35:43;21/08/2023;12:21:35;02:45:52
21/08/2023;22:59:18;22/08/2023;08:03:26;09:04:08
23/08/2023;00:46:59;23/08/2023;08:21:12;07:34:13
23/08/2023;23:44:46;24/08/2023;08:52:54;09:08:08
24/08/2023;23:56:00;25/08/2023;08:59:59;09:03:59
25/08/2023;15:46:05;25/08/2023;17:22:56;01:36:51
26/08/2023;06:05:00;26/08/2023;10:02:29;03:57:29
27/08/2023;02:55:11;27/08/2023;12:23:02;09:27:51
27/08/2023;22:51:07;28/08/2023;09:11:21;10:20:14
28/08/2023;23:59:35;29/08/2023;10:53:12;10:53:37
30/08/2023;01:09:23;30/08/2023;09:43:14;08:33:51
31/08/2023;02:29:23;31/08/2023;08:13:03;05:43:40
01/09/2023;01:47:40;01/09/2023;07:40:15;05:52:35
02/09/2023;22:43:56;03/09/2023;09:31:42;10:47:46
03/09/2023;22:13:48;04/09/2023;09:24:21;11:10:33
05/09/2023;00:36:17;05/09/2023;06:54:40;06:18:23
06/09/2023;01:20:47;06/09/2023;06:41:04;05:20:17
